C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0,F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
200006,SZG,1,3,0,2596,175,128,0,2000,6
200006,SZG,2,1,344,39663,0,0,0,2000,6
200006,SZG,2,2,343,38288,164,0,38288,2000,6
200006,SZG,2,3,0,4582,0,0,0,2000,6
200007,VIE,1,1,7509,476557,4718833,250222,0,2000,7
200007,VIE,1,2,7501,511264,5635047,382623,511264,2000,7
200007,VIE,1,3,0,7533,329869,6713,0,2000,7
200007,VIE,2,1,1066,121858,199727,224,0,2000,7
200007,VIE,2,2,1073,133287,251729,0,133287,2000,7
200007,VIE,2,3,0,5531,116918,163,0,2000,7
200007,GRZ,1,1,637,19913,65317,0,0,2000,7
200007,GRZ,1,2,638,21200,49464,0,21200,2000,7
200007,GRZ,1,3,0,264,432,0,0,2000,7
200007,GRZ,2,1,289,23394,41360,0,0,2000,7
200007,GRZ,2,2,288,25088,41614,0,25088,2000,7
200007,GRZ,2,3,0,3999,0,0,0,2000,7
200007,INN,1,1,589,13289,38927,7532,0,2000,7
200007,INN,1,2,596,14466,21649,8118,14466,2000,7
200007,INN,1,3,0,132,142,0,0,2000,7
200007,INN,2,1,262,19160,36,0,0,2000,7
200007,INN,2,2,250,20030,0,0,20030,2000,7
200007,INN,2,3,0,1909,0,0,0,2000,7
200007,KLU,1,1,389,9287,2431,0,0,2000,7
200007,KLU,1,2,378,9353,2778,0,9353,2000,7
200007,KLU,2,1,58,3977,0,0,0,2000,7
200007,KLU,2,2,68,3983,0,0,3983,2000,7
200007,KLU,2,3,0,799,0,0,0,2000,7
200007,LNZ,1,1,693,13695,16029,5032,0,2000,7
200007,LNZ,1,2,705,15378,5493,0,15378,2000,7
200007,LNZ,1,3,0,2159,257,10,0,2000,7
200007,LNZ,2,1,343,30876,78941,0,0,2000,7
200007,LNZ,2,2,332,33328,43449,0,33328,2000,7
200007,LNZ,2,3,0,2478,51733,0,0,2000,7
200007,SZG,1,1,705,23164,18510,5953,0,2000,7
200007,SZG,1,2,711,24156,11033,6897,24156,2000,7
200007,SZG,1,3,0,2057,281,320,0,2000,7
200007,SZG,2,1,352,41275,73,0,0,2000,7
200007,SZG,2,2,346,42692,880,0,42692,2000,7
200007,SZG,2,3,0,4745,0,0,0,2000,7
200008,VIE,1,1,7507,492730,4376782,250736,0,2000,8
200008,VIE,1,2,7490,479928,5067648,376295,479928,2000,8
200008,VIE,1,3,0,7697,232578,18057,0,2000,8
200008,VIE,2,1,981,125121,203385,143,0,2000,8
200008,VIE,2,2,1000,115445,227547,0,115445,2000,8
200008,VIE,2,3,0,4394,111045,0,0,2000,8
200008,GRZ,1,1,615,18664,70499,0,0,2000,8
200008,GRZ,1,2,617,18710,52563,0,18710,2000,8
200008,GRZ,1,3,0,227,0,0,0,2000,8
200008,GRZ,2,1,259,23156,41948,0,0,2000,8
200008,GRZ,2,2,258,23412,43333,0,23412,2000,8
200008,GRZ,2,3,0,3298,0,0,0,2000,8
200008,INN,1,1,566,13545,26409,6472,0,2000,8
200008,INN,1,2,573,13323,21836,7751,13323,2000,8
200008,INN,1,3,0,66,0,0,0,2000,8
200008,INN,2,1,216,19294,325,0,0,2000,8
200008,INN,2,2,211,19312,0,0,19312,2000,8
200008,INN,2,3,0,1775,0,0,0,2000,8
200008,KLU,1,1,364,8863,2172,0,0,2000,8
200008,KLU,1,2,357,9311,2533,0,9311,2000,8
200008,KLU,2,1,54,3883,0,0,0,2000,8
200008,KLU,2,2,58,3944,0,0,3944,2000,8
200008,KLU,2,3,0,759,0,0,0,2000,8
200008,LNZ,1,1,711,14449,19340,8106,0,2000,8
200008,LNZ,1,2,715,13923,4991,264,13923,2000,8
200008,LNZ,1,3,0,2175,58,0,0,2000,8
200008,LNZ,2,1,318,31194,63252,0,0,2000,8
200008,LNZ,2,2,313,30086,46918,0,30086,2000,8
200008,LNZ,2,3,0,2970,60901,0,0,2000,8
200008,SZG,1,1,706,24585,20246,6206,0,2000,8
200008,SZG,1,2,711,25837,6059,6564,25837,2000,8
200008,SZG,1,3,0,1948,83,244,0,2000,8
200008,SZG,2,1,356,44114,2305,0,0,2000,8
200008,SZG,2,2,351,45151,220,172,45151,2000,8
200008,SZG,2,3,0,4743,0,0,0,2000,8
200009,VIE,1,1,7364,505372,4880702,283199,0,2000,9
200009,VIE,1,2,7351,493114,5438836,414725,493114,2000,9
200009,VIE,1,3,0,8882,301568,7726,0,2000,9
200009,VIE,2,1,909,102502,296909,185,0,2000,9
200009,VIE,2,2,921,88376,198447,0,88376,2000,9
200009,VIE,2,3,0,4819,40875,0,0,2000,9
200009,GRZ,1,1,606,22064,69644,0,0,2000,9
200009,GRZ,1,2,609,21790,52038,0,21790,2000,9
200009,GRZ,1,3,0,175,0,0,0,2000,9
200009,GRZ,2,1,263,23465,39949,0,0,2000,9
200009,GRZ,2,2,263,19236,46133,0,19236,2000,9
200009,GRZ,2,3,0,3916,0,0,0,2000,9
200009,INN,1,1,608,15552,23673,8985,0,2000,9
200009,INN,1,2,612,15030,25797,7991,15030,2000,9
200009,INN,1,3,0,488,0,0,0,2000,9
200009,INN,2,1,202,16043,0,0,0,2000,9
200009,INN,2,2,201,15338,0,98,15338,2000,9
200009,INN,2,3,0,1834,0,0,0,2000,9
200009,KLU,1,1,325,8609,6151,38,0,2000,9
200009,KLU,1,2,329,8844,2633,0,8844,2000,9
200009,KLU,2,1,59,4040,0,0,0,2000,9
200009,KLU,2,2,57,3871,0,0,3871,2000,9
200009,KLU,2,3,0,765,0,0,0,2000,9
200009,LNZ,1,1,613,16276,15977,4272,0,2000,9
200009,LNZ,1,2,621,15810,6675,181,15810,2000,9
200009,LNZ,1,3,0,1919,86,0,0,2000,9
200009,LNZ,2,1,296,25988,68479,0,0,2000,9
200009,LNZ,2,2,294,21110,44541,0,21110,2000,9
200009,LNZ,2,3,0,2120,93496,0,0,2000,9
200009,SZG,1,1,706,24416,17787,8470,0,2000,9
200009,SZG,1,2,703,23312,7927,6757,23312,2000,9
200009,SZG,1,3,0,2681,20,890,0,2000,9
200009,SZG,2,1,310,36140,553,0,0,2000,9
200009,SZG,2,2,311,35165,348,0,35165,2000,9
