F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
582,24532,4886,6833,24532,2001,6
0,1426,10,0,0,2001,6
381,41630,63,0,0,2001,6
385,40114,2026,0,40114,2001,6
0,3557,0,0,0,2001,6
7529,484399,3884457,289548,0,2001,7
7543,513659,4679672,449039,513659,2001,7
0,3871,258145,5004,0,2001,7
992,114773,231389,162,0,2001,7
983,124061,246155,0,124061,2001,7
0,2371,38007,0,0,2001,7
619,20517,59505,0,0,2001,7
617,22115,30358,0,22115,2001,7
0,279,0,0,0,2001,7
220,20981,306,0,0,2001,7
222,22529,5,0,22529,2001,7
0,3775,0,0,0,2001,7
437,12241,18217,3487,0,2001,7
447,13247,20602,7270,13247,2001,7
0,277,0,0,0,2001,7
198,17414,23,0,0,2001,7
190,17911,0,0,17911,2001,7
0,1347,0,0,0,2001,7
282,8973,3082,0,0,2001,7
282,9046,1964,0,9046,2001,7
43,3367,0,0,0,2001,7
42,3405,0,0,3405,2001,7
0,306,0,0,0,2001,7
518,13546,19680,3899,0,2001,7
516,14975,2533,214,14975,2001,7
0,1399,64,0,0,2001,7
296,29395,72094,0,0,2001,7
298,31871,130136,0,31871,2001,7
0,2359,111926,0,0,2001,7
621,26962,17474,1149,0,2001,7
610,27719,5615,8243,27719,2001,7
0,1477,10,0,0,2001,7
333,37676,354,0,0,2001,7
346,38871,906,0,38871,2001,7
0,4088,0,0,0,2001,7
7434,504625,3813411,277825,0,2001,8
7399,492077,4324430,433374,492077,2001,8
0,4730,308704,6162,0,2001,8
1020,126477,217008,26,0,2001,8
1067,119748,149026,0,119748,2001,8
0,2537,92201,0,0,2001,8
620,19737,53490,5,0,2001,8
620,19951,24481,0,19951,2001,8
0,292,0,0,0,2001,8
245,23640,33519,0,0,2001,8
245,23435,47640,0,23435,2001,8
0,4372,0,0,0,2001,8
437,12395,15601,2980,0,2001,8
440,12176,19263,7756,12176,2001,8
0,259,0,0,0,2001,8
204,18155,150,0,0,2001,8
200,18241,1000,0,18241,2001,8
0,1576,0,0,0,2001,8
283,8627,3354,0,0,2001,8
281,9189,1851,0,9189,2001,8
47,4333,0,0,0,2001,8
50,4247,0,0,4247,2001,8
0,298,0,0,0,2001,8
516,13665,20000,3918,0,2001,8
513,12920,4086,0,12920,2001,8
0,1767,96,0,0,2001,8
275,31642,57393,0,0,2001,8
280,30774,40928,0,30774,2001,8
0,2218,87075,0,0,2001,8
601,29517,17110,658,0,2001,8
606,30627,5928,8987,30627,2001,8
0,944,57,0,0,2001,8
350,43209,539,0,0,2001,8
345,43759,83,0,43759,2001,8
0,4050,0,0,0,2001,8
7245,484946,4050208,267967,0,2001,9
7226,472812,4542744,448148,472812,2001,9
0,4388,324323,5304,0,2001,9
925,103649,284851,166,0,2001,9
944,89384,237740,0,89384,2001,9
0,2702,61092,0,0,2001,9
576,22391,59513,0,0,2001,9
574,20639,27596,0,20639,2001,9
0,240,0,0,0,2001,9
251,21514,1490,0,0,2001,9
256,17833,0,0,17833,2001,9
0,3783,0,0,0,2001,9
448,13375,15927,3695,0,2001,9
448,12823,18562,6751,12823,2001,9
0,210,0,0,0,2001,9
209,16049,2669,0,0,2001,9
209,15709,889,0,15709,2001,9
0,1293,0,0,0,2001,9
270,8330,2664,0,0,2001,9
269,8085,791,0,8085,2001,9
42,3322,0,0,0,2001,9
43,3255,0,0,3255,2001,9
0,181,0,0,0,2001,9
481,14686,21040,4533,0,2001,9
487,14036,3860,0,14036,2001,9
0,1421,61,0,0,2001,9
286,28194,53471,0,0,2001,9
